
Face ID,Event,Time,Duration,Cumulative Emotion
1,time-in,2024-08-25 16:14:28.070474,,
2,time-in,2024-08-25 16:14:35.383192,,
1,time-out,2024-08-25 16:14:40.834880,0:00:12.764406,sad
2,time-out,2024-08-25 16:14:40.859234,0:00:05.476042,neutral
3,time-in,2024-08-25 16:14:45.390653,,
4,time-in,2024-08-25 16:15:00.493115,,
3,time-out,2024-08-25 16:15:19.372008,0:00:33.981355,neutral
4,time-out,2024-08-25 16:15:19.420543,0:00:18.927428,neutral
5,time-in,2024-08-25 16:15:30.664806,,
1,time-in,2024-08-26 14:23:52.166622,,
1,time-out,2024-08-26 14:23:58.603168,0:00:06.436546,sad
2,time-in,2024-08-26 14:23:58.711794,,
2,time-out,2024-08-26 14:23:58.853412,0:00:00.141618,sad
3,time-in,2024-08-26 14:23:58.871993,,
3,time-out,2024-08-26 14:24:01.551033,0:00:02.679040,sad
4,time-in,2024-08-26 14:24:02.125024,,
4,time-out,2024-08-26 14:24:06.412672,0:00:04.287648,angry
5,time-in,2024-08-26 14:24:06.421980,,
5,time-out,2024-08-26 14:24:06.654164,0:00:00.232184,angry
6,time-in,2024-08-26 14:24:06.660637,,
6,time-out,2024-08-26 14:24:07.528601,0:00:00.867964,angry
7,time-in,2024-08-26 14:24:07.535789,,
2,time-in,2024-08-26 14:33:46.540175,,
3,time-in,2024-08-26 14:33:57.409617,,
4,time-in,2024-08-26 14:34:05.750306,,
3,time-out,2024-08-26 14:34:06.441408,0:00:09.031791,neutral
2,time-out,2024-08-26 14:34:06.501568,0:00:19.961393,neutral
4,time-out,2024-08-26 14:34:06.507577,0:00:00.757271,sad
5,time-in,2024-08-26 14:34:10.781300,,
5,time-out,2024-08-26 14:34:14.570795,0:00:03.789495,neutral
6,time-in,2024-08-26 14:34:16.974901,,
6,time-out,2024-08-26 14:34:18.362558,0:00:01.387657,neutral
7,time-in,2024-08-26 14:34:21.032307,,
2,time-in,2024-08-26 14:37:30.578994,,
3,time-in,2024-08-26 14:37:31.106958,,
4,time-in,2024-08-26 14:37:36.444198,,
2,time-out,2024-08-26 14:37:44.757099,0:00:14.178105,neutral
3,time-out,2024-08-26 14:37:44.763617,0:00:13.656659,neutral
4,time-out,2024-08-26 14:37:44.767037,0:00:08.322839,neutral
5,time-in,2024-08-26 14:37:54.998925,,
5,time-out,2024-08-26 14:38:05.274905,0:00:10.275980,neutral
6,time-in,2024-08-26 14:38:13.317885,,
7,time-in,2024-08-26 14:38:17.411986,,
